scholarship_id,scholarship_name,provider,provider_type,source,official_source_url,application_url,country_of_provider,study_country,eligible_nationalities,education_level,study_mode,field_of_study,age_min,age_max,academic_requirement,minimum_percentage_or_gpa,family_income_limit,gender_eligibility,category_eligibility,disability_eligibility,residency_requirement,scholarship_amount,currency,funding_type,tuition_coverage,living_expense_coverage,travel_coverage,accommodation_coverage,application_fee,application_deadline,scholarship_duration,number_of_awards,documents_required,eligibility_criteria,selection_criteria,description,renewable,last_verified
SCH_0206,Satyendra Nath Bose Summer Internship Program 2025,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/satyendra-nath-bose-summer-internship-program-2025,https://www.buddy4study.com/scholarship/satyendra-nath-bose-summer-internship-program-2025,India,India,Indian,Undergraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,Deadline Closed dummy text Home Scholarships satyendra-nath-bose-summer-internship-program-2025 Abou,INR,Partial,Partial,Not specified,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must: be a Pre-final year B.,"Merit assessment, academic record, and verification.",Satyendra Nath Bose Summer Internship Program 2025 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0207,AAI Sports Contract Scheme 2025-26,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/aai-sports-contract-scheme-2025-26,https://www.buddy4study.com/scholarship/aai-sports-contract-scheme-2025-26,India,India,Indian,Undergraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,Deadline Closed dummy text Home Scholarships aai-sports-contract-scheme-2025-26 About The Program AA,INR,Partial,Partial,Not specified,Travel allowance included,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must:- be a sportsperson be aged between 14 to 24 years as on 31st March 2025 have been playing for the last two to three years at sub-junior or national level Eligible games under this scheme: Carrom Chess Badminton Kho Kho Table Tennis Note:- No other games will be entertained under t,"Merit assessment, academic record, and verification.",AAI Sports Contract Scheme 2025-26 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0208,IIIT Hyderabad Summer Internship 2025,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/iiit-hyderabad-summer-internship-2025,https://www.buddy4study.com/scholarship/iiit-hyderabad-summer-internship-2025,India,India,Indian,Undergraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,Deadline Closed dummy text Home Scholarships iiit-hyderabad-summer-internship-2025 About The Program,INR,Partial,Partial,Not specified,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must:- be UG/PG students or recent graduates have written and spoken fluently in one of the following indigenous languages: Gondi Koya Kolami Naikdi Chenchu Kaikadi (Yerukala) Lambadi Nakkala Konda Kammara have basic proficiency in English or Telugu have a genuine interest in preserving,"Merit assessment, academic record, and verification.",IIIT Hyderabad Summer Internship 2025 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0209,NIIT University Scholarship-cum-Admission Seat Programme 2025-26 [Up to 100% tuition fee waiver],Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/niit-university-scholarship-cum-admission-seat-programme-2025,https://www.buddy4study.com/scholarship/niit-university-scholarship-cum-admission-seat-programme-2025,India,India,Indian,Undergraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,Financial assistance / Grant,INR,Grant,Partial,Not specified,Not specified,Not specified,Free,Always Open,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",Refer to official scheme notification.,"Merit assessment, academic record, and verification.",NIIT University Scholarship-cum-Admission Seat Programme 2025-26 [Up to 100% tuition fee waiver] offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0210,"Pre-Matric Scholarship for SC, ST and MBC Students (Component-II), Odisha 2024-25",Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/pre-matric-scholarship-for-sc-st-and-mbc-students-component-odisha-2024-25,https://www.buddy4study.com/scholarship/pre-matric-scholarship-for-sc-st-and-mbc-students-component-odisha-2024-25,India,India,Indian,School,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,Selected candidates will receive annual scholarships according to their respective courses and durat,INR,Partial,Partial,Not specified,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable","an applicant must:- be a domicile of Odisha belong to Scheduled Caste (SC), Scheduled Tribe (ST), Other Backward Classes (OBC), Socially and Economically Backward Classes (SEBC) or Economically Backward Classes (EBC) be pursuing studies in Classes 1 or 10 be a ward of the parents engaged in an uncle","Merit assessment, academic record, and verification.","Pre-Matric Scholarship for SC, ST and MBC Students (Component-II), Odisha 2024-25 offered by Corporate CSR / Foundation / University.",Not specified,2026-09-16
SCH_0211,AAI Sports Scholarship Scheme for Outstanding Sportspersons 2025-26,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/aai-sports-scholarship-scheme-for-outstanding-sportspersons-2025-26,https://www.buddy4study.com/scholarship/aai-sports-scholarship-scheme-for-outstanding-sportspersons-2025-26,India,India,Indian,Undergraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,Deadline Closed dummy text Home Scholarships aai-sports-scholarship-scheme-for-outstanding-sportsper,INR,Partial,Partial,Not specified,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must:- be a sportsperson be aged between 14 to 24 years as on 31st March 2025 be played at sub-junior or national level Eligible games under this scheme: Carrom Chess Badminton Kho Kho Table Tennis Archery (recurve) Cricket Football Volleyball Long jump High Jump Triple Jump Javelin Thr,"Merit assessment, academic record, and verification.",AAI Sports Scholarship Scheme for Outstanding Sportspersons 2025-26 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0212,Dibrugarh University Pragati Summer Internship Programme 2025,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/dibrugarh-university-pragati-summer-internship-programme-2025,https://www.buddy4study.com/scholarship/dibrugarh-university-pragati-summer-internship-programme-2025,India,India,Indian,Postgraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,"- A consolidated remuneration of ₹5,000 for 30 UG students and ₹7,500 for 20 PG students.",INR,Partial,Partial,Not specified,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must:- be students from colleges affiliated with Dibrugarh University be studying in the 4th year of their UG (four-year course) or 2nd year PG programme not have active academic backlogs have scored a minimum 7.,"Merit assessment, academic record, and verification.",Dibrugarh University Pragati Summer Internship Programme 2025 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0213,Griffith University International Student Academic Excellence Scholarship 2025,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/griffith-university-international-student-academic-excellence-scholarship-2025,https://www.buddy4study.com/scholarship/griffith-university-international-student-academic-excellence-scholarship-2025,India,India,Indian,Postgraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,The selected candidates will receive 25% of their tuition fees for the entire duration of their cour,INR,Partial,Partial,Not specified,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable","an applicant must:- be full-time international fee-paying students at Griffith University starting in 2024, 2025 or 2026 satisfy all the academic and English language requirements in their selected course.","Merit assessment, academic record, and verification.",Griffith University International Student Academic Excellence Scholarship 2025 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0214,University of Essex International Health Bursary Postgraduate Scholarship 2024-25,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/university-of-essex-international-health-bursary-postgraduate-scholarship-2024-25,https://www.buddy4study.com/scholarship/university-of-essex-international-health-bursary-postgraduate-scholarship-2024-25,International,International,All Nationalities,Postgraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Not specified,The selected candidates can receive an Immigration Health Surcharge (IHS) of up to £776 (approx.,GBP,Partial,Partial,Included in stipend,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must:- be an international students have registered at the University of Essex in October 2024 or January 2025 for a Master’s course have paid both the installments of their tuition fees for the academic year 2024-25 have provided proof of their current visa permission Non-Eligibility C,"Merit assessment, academic record, and verification.",University of Essex International Health Bursary Postgraduate Scholarship 2024-25 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0215,Margdarshan Mentorship Program by CNH – ITC [Mentorship support to students studying in Delhi-NCR region],Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/margdarshan-mentorship-program-by-cnh-itc,https://www.buddy4study.com/scholarship/margdarshan-mentorship-program-by-cnh-itc,India,India,Indian,Undergraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,Financial assistance / Grant,INR,Grant,Partial,Not specified,Not specified,Not specified,Free,Always Open,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",Refer to official scheme notification.,"Merit assessment, academic record, and verification.",Margdarshan Mentorship Program by CNH – ITC [Mentorship support to students studying in Delhi-NCR region] offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
